ap_id,floor,region,coverage_cells,centroid_x,centroid_y,bbox_x_min,bbox_x_max,bbox_y_min,bbox_y_max,spatial_information
139,1,Floor_1_Zone_139,627,45.43,90.42,35,54,68,106,"Centroid: (45.43, 90.42), Box: X[35-54] Y[68-106], Area: 627 cells"
140,2,Floor_2_Zone_140,823,41.88,42.74,35,54,18,78,"Centroid: (41.88, 42.74), Box: X[35-54] Y[18-78], Area: 823 cells"
141,2,Floor_2_Zone_141,322,50.81,54.88,44,54,20,75,"Centroid: (50.81, 54.88), Box: X[44-54] Y[20-75], Area: 322 cells"
142,2,Floor_2_Zone_142,132,46.61,77.97,37,54,73,82,"Centroid: (46.61, 77.97), Box: X[37-54] Y[73-82], Area: 132 cells"
143,2,Floor_2_Zone_143,239,38.87,93.19,35,43,79,106,"Centroid: (38.87, 93.19), Box: X[35-43] Y[79-106], Area: 239 cells"
144,2,Floor_2_Zone_144,264,49.0,94.5,44,54,83,106,"Centroid: (49.00, 94.50), Box: X[44-54] Y[83-106], Area: 264 cells"
145,0,Floor_0_Zone_145,507,48.0,131.0,42,54,112,150,"Centroid: (48.00, 131.00), Box: X[42-54] Y[112-150], Area: 507 cells"
146,0,Floor_0_Zone_146,273,38.0,131.0,35,41,112,150,"Centroid: (38.00, 131.00), Box: X[35-41] Y[112-150], Area: 273 cells"
147,1,Floor_1_Zone_147,648,43.24,128.59,35,54,112,150,"Centroid: (43.24, 128.59), Box: X[35-54] Y[112-150], Area: 648 cells"
148,1,Floor_1_Zone_148,132,50.67,142.83,44,54,129,150,"Centroid: (50.67, 142.83), Box: X[44-54] Y[129-150], Area: 132 cells"
149,2,Floor_2_Zone_149,183,48.38,118.16,37,54,112,129,"Centroid: (48.38, 118.16), Box: X[37-54] Y[112-129], Area: 183 cells"
150,2,Floor_2_Zone_150,209,40.38,124.14,35,51,112,133,"Centroid: (40.38, 124.14), Box: X[35-51] Y[112-133], Area: 209 cells"
151,2,Floor_2_Zone_151,168,45.3,135.27,35,54,130,141,"Centroid: (45.30, 135.27), Box: X[35-54] Y[130-141], Area: 168 cells"
152,2,Floor_2_Zone_152,129,40.22,145.09,35,46,139,150,"Centroid: (40.22, 145.09), Box: X[35-46] Y[139-150], Area: 129 cells"
153,2,Floor_2_Zone_153,91,50.76,144.74,47,54,138,150,"Centroid: (50.76, 144.74), Box: X[47-54] Y[138-150], Area: 91 cells"
154,0,Floor_0_Zone_154,401,49.15,172.75,41,54,156,194,"Centroid: (49.15, 172.75), Box: X[41-54] Y[156-194], Area: 401 cells"
155,0,Floor_0_Zone_155,379,39.58,177.38,35,47,156,194,"Centroid: (39.58, 177.38), Box: X[35-47] Y[156-194], Area: 379 cells"
156,1,Floor_1_Zone_156,213,50.04,167.34,46,54,156,179,"Centroid: (50.04, 167.34), Box: X[46-54] Y[156-179], Area: 213 cells"
157,1,Floor_1_Zone_157,271,39.89,167.83,35,45,156,181,"Centroid: (39.89, 167.83), Box: X[35-45] Y[156-181], Area: 271 cells"
158,1,Floor_1_Zone_158,296,44.73,187.07,35,54,179,194,"Centroid: (44.73, 187.07), Box: X[35-54] Y[179-194], Area: 296 cells"
159,2,Floor_2_Zone_159,376,44.83,164.93,35,54,156,176,"Centroid: (44.83, 164.93), Box: X[35-54] Y[156-176], Area: 376 cells"
160,2,Floor_2_Zone_160,404,44.19,184.37,35,54,173,194,"Centroid: (44.19, 184.37), Box: X[35-54] Y[173-194], Area: 404 cells"
161,0,Floor_0_Zone_161,282,44.55,206.56,35,54,200,214,"Centroid: (44.55, 206.56), Box: X[35-54] Y[200-214], Area: 282 cells"
162,0,Floor_0_Zone_162,225,38.94,225.99,35,43,213,238,"Centroid: (38.94, 225.99), Box: X[35-43] Y[213-238], Area: 225 cells"
163,0,Floor_0_Zone_163,273,49.03,226.09,44,54,214,238,"Centroid: (49.03, 226.09), Box: X[44-54] Y[214-238], Area: 273 cells"
164,1,Floor_1_Zone_164,554,45.9,214.16,35,54,200,238,"Centroid: (45.90, 214.16), Box: X[35-54] Y[200-238], Area: 554 cells"
165,1,Floor_1_Zone_165,226,41.08,230.86,35,53,217,238,"Centroid: (41.08, 230.86), Box: X[35-53] Y[217-238], Area: 226 cells"
166,2,Floor_2_Zone_166,366,44.44,208.66,35,54,200,218,"Centroid: (44.44, 208.66), Box: X[35-54] Y[200-218], Area: 366 cells"
167,2,Floor_2_Zone_167,193,39.48,226.62,35,48,218,238,"Centroid: (39.48, 226.62), Box: X[35-48] Y[218-238], Area: 193 cells"
168,2,Floor_2_Zone_168,221,48.98,229.46,40,54,217,238,"Centroid: (48.98, 229.46), Box: X[40-54] Y[217-238], Area: 221 cells"
169,0,Floor_0_Zone_169,249,46.51,250.54,35,54,244,260,"Centroid: (46.51, 250.54), Box: X[35-54] Y[244-260], Area: 249 cells"
