AP_ID,Floor,Region,Spatial_Info
131,0,Zone_AP_131,"Centroid: (39.31, 44.58), Box: X[35-47] Y[29-59], Area: 253 cells, Contiguous"
132,0,Zone_AP_132,"Centroid: (46.28, 61.57), Box: X[35-54] Y[52-71], Area: 300 cells, Contiguous"
133,0,Zone_AP_133,"Centroid: (38.94, 76.14), Box: X[35-46] Y[65-89], Area: 186 cells, Contiguous"
134,0,Zone_AP_134,"Centroid: (48.81, 78.55), Box: X[41-54] Y[71-85], Area: 141 cells, Contiguous"
135,0,Zone_AP_135,"Centroid: (44.89, 95.91), Box: X[35-54] Y[84-106], Area: 421 cells, Contiguous"
136,1,Zone_AP_136,"Centroid: (44.20, 29.63), Box: X[35-54] Y[18-43], Area: 484 cells, Contiguous"
137,1,Zone_AP_137,"Centroid: (45.30, 53.22), Box: X[35-54] Y[40-67], Area: 459 cells, Contiguous"
138,1,Zone_AP_138,"Centroid: (40.68, 70.94), Box: X[35-52] Y[62-83], Area: 210 cells, Contiguous"
139,1,Zone_AP_139,"Centroid: (45.43, 90.42), Box: X[35-54] Y[68-106], Area: 627 cells, Contiguous"
140,2,Zone_AP_140,"Centroid: (41.88, 42.74), Box: X[35-54] Y[18-78], Area: 823 cells, Contiguous"
141,2,Zone_AP_141,"Centroid: (50.81, 54.88), Box: X[44-54] Y[20-75], Area: 322 cells, Contiguous"
142,2,Zone_AP_142,"Centroid: (46.61, 77.97), Box: X[37-54] Y[73-82], Area: 132 cells, Contiguous"
143,2,Zone_AP_143,"Centroid: (38.87, 93.19), Box: X[35-43] Y[79-106], Area: 239 cells, Contiguous"
144,2,Zone_AP_144,"Centroid: (49.00, 94.50), Box: X[44-54] Y[83-106], Area: 264 cells, Contiguous"
145,0,Zone_AP_145,"Centroid: (48.00, 131.00), Box: X[42-54] Y[112-150], Area: 507 cells, Contiguous"
146,0,Zone_AP_146,"Centroid: (38.00, 131.00), Box: X[35-41] Y[112-150], Area: 273 cells, Contiguous"
147,1,Zone_AP_147,"Centroid: (43.24, 128.59), Box: X[35-54] Y[112-150], Area: 648 cells, Contiguous"
148,1,Zone_AP_148,"Centroid: (50.67, 142.83), Box: X[44-54] Y[129-150], Area: 132 cells, Contiguous"
149,2,Zone_AP_149,"Centroid: (48.38, 118.16), Box: X[37-54] Y[112-129], Area: 183 cells, Contiguous"
150,2,Zone_AP_150,"Centroid: (40.38, 124.14), Box: X[35-51] Y[112-133], Area: 209 cells, Contiguous"
151,2,Zone_AP_151,"Centroid: (45.30, 135.27), Box: X[35-54] Y[130-141], Area: 168 cells, Contiguous"
152,2,Zone_AP_152,"Centroid: (40.22, 145.09), Box: X[35-46] Y[139-150], Area: 129 cells, Contiguous"
153,2,Zone_AP_153,"Centroid: (50.76, 144.74), Box: X[47-54] Y[138-150], Area: 91 cells, Contiguous"
154,0,Zone_AP_154,"Centroid: (49.15, 172.75), Box: X[41-54] Y[156-194], Area: 401 cells, Contiguous"
155,0,Zone_AP_155,"Centroid: (39.58, 177.38), Box: X[35-47] Y[156-194], Area: 379 cells, Contiguous"
156,1,Zone_AP_156,"Centroid: (50.04, 167.34), Box: X[46-54] Y[156-179], Area: 213 cells, Contiguous"
157,1,Zone_AP_157,"Centroid: (39.89, 167.83), Box: X[35-45] Y[156-181], Area: 271 cells, Contiguous"
158,1,Zone_AP_158,"Centroid: (44.73, 187.07), Box: X[35-54] Y[179-194], Area: 296 cells, Contiguous"
159,2,Zone_AP_159,"Centroid: (44.83, 164.93), Box: X[35-54] Y[156-176], Area: 376 cells, Contiguous"
