timestamp,scenario,ap_id,previous_state,new_state,current_users,predicted_users,transition_reason
2023-06-13 10:03:29,ORACLE_QOS,125,HIGH,CRITICAL,11.0,20.0,Oracle ground truth future (20.0)
2023-06-13 15:14:36,ORACLE_QOS,125,CRITICAL,NORMAL,5.0,4.0,Oracle ground truth future (4.0)
2023-06-13 18:02:53,ORACLE_QOS,125,NORMAL,MODERATE,2.0,6.0,Oracle ground truth future (6.0)
2023-06-13 20:16:25,ORACLE_QOS,125,MODERATE,NORMAL,2.0,2.0,Oracle ground truth future (2.0)
2023-06-14 07:35:59,ORACLE_QOS,125,NORMAL,MODERATE,4.0,5.0,Oracle ground truth future (5.0)
2023-06-14 09:39:45,ORACLE_QOS,125,MODERATE,HIGH,6.0,14.0,Oracle ground truth future (14.0)
2023-06-14 12:05:46,ORACLE_QOS,125,HIGH,MODERATE,4.0,6.0,Oracle ground truth future (6.0)
2023-06-14 12:34:32,ORACLE_QOS,125,MODERATE,CRITICAL,6.0,108.0,Oracle ground truth future (108.0)
2023-06-14 14:53:07,ORACLE_QOS,125,CRITICAL,NORMAL,3.0,2.0,Oracle ground truth future (2.0)
2023-06-14 16:44:13,ORACLE_QOS,125,NORMAL,MODERATE,3.0,7.0,Oracle ground truth future (7.0)
2023-06-14 18:56:52,ORACLE_QOS,125,MODERATE,NORMAL,3.0,2.0,Oracle ground truth future (2.0)
2023-06-15 07:54:08,ORACLE_QOS,125,NORMAL,MODERATE,2.0,5.0,Oracle ground truth future (5.0)
2023-06-15 08:39:31,ORACLE_QOS,125,MODERATE,HIGH,5.0,10.0,Oracle ground truth future (10.0)
2023-06-15 11:45:01,ORACLE_QOS,125,HIGH,CRITICAL,5.0,28.0,Oracle ground truth future (28.0)
2023-06-15 13:10:05,ORACLE_QOS,125,CRITICAL,MODERATE,6.0,6.0,Oracle ground truth future (6.0)
2023-06-15 13:37:49,ORACLE_QOS,125,MODERATE,HIGH,6.0,10.0,Oracle ground truth future (10.0)
2023-06-15 15:55:51,ORACLE_QOS,125,HIGH,MODERATE,4.0,7.0,Oracle ground truth future (7.0)
2023-06-15 20:04:05,ORACLE_QOS,125,MODERATE,NORMAL,2.0,2.0,Oracle ground truth future (2.0)
2023-06-16 08:22:22,ORACLE_QOS,125,NORMAL,MODERATE,4.0,5.0,Oracle ground truth future (5.0)
2023-06-16 09:08:21,ORACLE_QOS,125,MODERATE,HIGH,8.0,12.0,Oracle ground truth future (12.0)
2023-06-16 11:56:52,ORACLE_QOS,125,HIGH,MODERATE,7.0,7.0,Oracle ground truth future (7.0)
2023-06-16 16:20:04,ORACLE_QOS,125,MODERATE,NORMAL,3.0,3.0,Oracle ground truth future (3.0)
2023-06-16 16:43:39,ORACLE_QOS,125,NORMAL,MODERATE,3.0,6.0,Oracle ground truth future (6.0)
2023-06-16 18:30:21,ORACLE_QOS,125,MODERATE,NORMAL,2.0,2.0,Oracle ground truth future (2.0)
2023-06-12 08:28:55,ORACLE_QOS,162,NORMAL,HIGH,1.0,12.0,Oracle ground truth future (12.0)
2023-06-12 09:18:05,ORACLE_QOS,162,HIGH,CRITICAL,17.0,20.0,Oracle ground truth future (20.0)
2023-06-12 19:32:38,ORACLE_QOS,162,CRITICAL,NORMAL,0.0,1.0,Oracle ground truth future (1.0)
2023-06-13 08:41:15,ORACLE_QOS,162,NORMAL,MODERATE,2.0,9.0,Oracle ground truth future (9.0)
2023-06-13 08:57:43,ORACLE_QOS,162,MODERATE,CRITICAL,9.0,31.0,Oracle ground truth future (31.0)
2023-06-13 18:02:53,ORACLE_QOS,162,CRITICAL,NORMAL,1.0,1.0,Oracle ground truth future (1.0)
